n,accuracy,hallucination_rate,accuracy_ci_low_bootstrap_examples,accuracy_ci_high_bootstrap_examples,ece,brier,parse_success_rate,refusal_rate,answer_rate,mean_latency_s,tokens_per_second,iga_gamma_mean,iga_gamma_max,iga_gate_mean,iga_gate_max,iga_pattern_mean,iga_active_heads,error_rate,model_id,benchmark,method,seed,evaluation_mode
300.0,0.5033333333333333,0.4966666666666667,0.44333333333333336,0.56,0.17705034931500754,0.27596985967502924,,0.0,1.0,2.007312161089794,0.0,1.744239274507219,31.25161981076905,0.41047202318906784,1.5466588946183522,123.60827838030728,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,1,choice
300.0,0.44,0.56,0.38666666666666666,0.49666666666666665,0.31044478168090184,0.33283872031100586,,0.0,1.0,1.8414705660901383,0.0,1.6883777730121756,36.80644678433737,0.41047202318906784,1.5466588946183522,124.1271999347571,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,2,choice
300.0,0.5133333333333333,0.4866666666666667,0.45658333333333334,0.57,0.20684182792901995,0.2900753708943743,,0.0,1.0,1.8826957580633703,0.0,1.603821889830358,27.08079027652741,0.41047202318906784,1.5466588946183522,118.75425655191594,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,3,choice
300.0,0.4633333333333333,0.5366666666666666,0.40991666666666665,0.5166666666666667,0.2626274799307188,0.3095759327331747,,0.0,1.0,1.4292630559627044,0.0,1.6749364986202933,29.918288218758324,0.41047202318906784,1.5466588946183522,126.3233919698542,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,1,choice
300.0,0.44666666666666666,0.5533333333333333,0.39,0.5066666666666667,0.24027670482794442,0.29183900406267665,,0.0,1.0,1.2203059758119827,0.0,1.48201125938784,26.050868032195353,0.41047202318906784,1.5466588946183522,109.38345212127223,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,2,choice
300.0,0.44,0.56,0.38333333333333336,0.49666666666666665,0.313575470050176,0.3340737002233997,,0.0,1.0,1.4482203004020267,0.0,1.3440754469506668,27.927115336042455,0.41047202318906784,1.5466588946183522,98.6928439018943,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4,0.5166666666666667,0.3500000089406967,0.3708000048716864,1.0,0.0,1.0,18.535995475563784,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,1,choice
300.0,0.44,0.56,0.38666666666666666,0.5,0.37600000937779743,0.3794666725715003,1.0,0.0,1.0,17.03894023139321,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,2,choice
300.0,0.44333333333333336,0.5566666666666666,0.3899166666666667,0.5000833333333332,0.3860000079870224,0.4025333382368089,1.0,0.0,1.0,14.497614618306203,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4,0.5166666666666667,0.26240035750158275,0.3394131066013592,1.0,0.0,1.0,21.458174193596303,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,semantic_entropy_mc,1,choice
